text,label
save me,1
all is well,0
i am in danger,1
having a good day,0
someone is chasing me,1
feeling happy,0
i feel threatened,1
everything is normal,0
this is an emergency,1
all is well,0
someone is chasing me,1
no issues,0
please respond quickly,1
having a good day,0
someone is following me,1
everything is normal,0
i am scared,1
just relaxing,0
this is an emergency,1
all good here,0
someone is following me,1
i feel great,0
someone is chasing me,1
feeling happy,0
i feel threatened,1
everything is normal,0
this is an emergency,1
no issues,0
i am scared,1
just relaxing,0
save me,1
i am safe,0
please respond quickly,1
i am okay,0
please respond quickly,1
just relaxing,0
please help me,1
no issues,0
call police,1
all good here,0
i am scared,1
all good here,0
someone is following me,1
no problem here,0
save me,1
everything is fine,0
someone is chasing me,1
feeling peaceful,0
call police,1
no issues,0
please respond quickly,1
just relaxing,0
i feel threatened,1
i am okay,0
i am in trouble,1
feeling happy,0
i am not safe,1
i am comfortable,0
this is an emergency,1
feeling happy,0
i am scared,1
i feel great,0
help me,1
i am comfortable,0
i am in trouble,1
no issues,0
i am in trouble,1
feeling peaceful,0
someone is following me,1
no problem here,0
i feel threatened,1
just relaxing,0
please respond quickly,1
just relaxing,0
someone is following me,1
everything is normal,0
i am in danger,1
i am okay,0
i am in trouble,1
feeling peaceful,0
someone is chasing me,1
everything is fine,0
i need help urgently,1
everything is normal,0
please respond quickly,1
feeling peaceful,0
i am in danger,1
just relaxing,0
i am not safe,1
just relaxing,0
i am not safe,1
i am safe,0
someone is chasing me,1
just relaxing,0
call police,1
no problem here,0
please respond quickly,1
life is good,0
please help me,1
everything is fine,0
please help me,1
all good here,0
someone is following me,1
i feel great,0
i am scared,1
having a good day,0
i am scared,1
i am okay,0
call police,1
feeling peaceful,0
i feel unsafe,1
feeling happy,0
call police,1
no problem here,0
i need help urgently,1
everything is normal,0
i am scared,1
having a good day,0
i feel threatened,1
no issues,0
i feel unsafe,1
feeling peaceful,0
this is an emergency,1
feeling happy,0
i am not safe,1
feeling peaceful,0
i am in trouble,1
i feel great,0
call police,1
i am safe,0
i feel threatened,1
just relaxing,0
i am not safe,1
everything is normal,0
i am scared,1
all good here,0
this is an emergency,1
i am okay,0
save me,1
life is good,0
this is an emergency,1
i am okay,0
i am not safe,1
feeling happy,0
i feel threatened,1
everything is normal,0
i am in danger,1
having a good day,0
save me,1
all good here,0
call police,1
feeling happy,0
someone is following me,1
i am comfortable,0
this is an emergency,1
life is good,0
someone is following me,1
i feel great,0
someone is following me,1
i am okay,0
i am scared,1
feeling happy,0
i am not safe,1
i am safe,0
this is an emergency,1
i am okay,0
call police,1
everything is normal,0
please respond quickly,1
no problem here,0
i am in trouble,1
life is good,0
i feel threatened,1
feeling peaceful,0
this is an emergency,1
i feel great,0
please respond quickly,1
just relaxing,0
i need help urgently,1
feeling peaceful,0
help me,1
i feel great,0
i feel unsafe,1
just relaxing,0
please help me,1
no problem here,0
call police,1
no problem here,0
please help me,1
feeling peaceful,0
i am in trouble,1
i am comfortable,0
i feel threatened,1
i am safe,0
please respond quickly,1
life is good,0
someone is chasing me,1
i am comfortable,0
someone is following me,1
everything is normal,0
someone is following me,1
no issues,0
i am in danger,1
i feel great,0
i feel threatened,1
life is good,0
save me,1
i am safe,0
i am scared,1
all is well,0
i need help urgently,1
i am safe,0
someone is chasing me,1
life is good,0
i need help urgently,1
feeling happy,0
please respond quickly,1
everything is normal,0
i feel unsafe,1
i am comfortable,0
call police,1
all is well,0
someone is following me,1
everything is normal,0
i am in trouble,1
just relaxing,0
i am not safe,1
no issues,0
help me,1
no issues,0
save me,1
all is well,0
someone is chasing me,1
all good here,0
i need help urgently,1
i feel great,0
i am scared,1
life is good,0
i am in trouble,1
i am safe,0
i am not safe,1
all good here,0
i am scared,1
feeling peaceful,0
i am in trouble,1
life is good,0
i am scared,1
feeling happy,0
i am in danger,1
i am okay,0
i feel unsafe,1
having a good day,0
please respond quickly,1
life is good,0
this is an emergency,1
i feel great,0
i feel threatened,1
no problem here,0
help me,1
feeling happy,0
someone is following me,1
no issues,0
i feel threatened,1
all is well,0
someone is following me,1
everything is fine,0
please respond quickly,1
i feel great,0
save me,1
i feel great,0
this is an emergency,1
no problem here,0
i am scared,1
everything is fine,0
i am in danger,1
all is well,0
someone is following me,1
i am comfortable,0
i am scared,1
i am okay,0
i am not safe,1
i am comfortable,0
someone is following me,1
feeling peaceful,0
this is an emergency,1
feeling peaceful,0
this is an emergency,1
life is good,0
i am scared,1
all good here,0
call police,1
all is well,0
i am scared,1
i am okay,0
i am in trouble,1
just relaxing,0
please help me,1
all is well,0
i am scared,1
all is well,0
i am in danger,1
all is well,0
i need help urgently,1
life is good,0
someone is following me,1
having a good day,0
please respond quickly,1
i am comfortable,0
someone is chasing me,1
feeling peaceful,0
save me,1
i am comfortable,0
someone is following me,1
all is well,0
this is an emergency,1
all is well,0
i feel unsafe,1
i feel great,0
i am in trouble,1
i am safe,0
i am in trouble,1
i feel great,0
call police,1
having a good day,0
i am in trouble,1
just relaxing,0
someone is following me,1
i am okay,0
i need help urgently,1
feeling peaceful,0
help me,1
all is well,0
someone is following me,1
everything is normal,0
someone is chasing me,1
no issues,0
call police,1
all is well,0
please help me,1
everything is fine,0
someone is following me,1
feeling peaceful,0
i am in trouble,1
life is good,0
i feel unsafe,1
having a good day,0
save me,1
i am okay,0
i feel unsafe,1
feeling peaceful,0
someone is following me,1
i am okay,0
i am scared,1
no problem here,0
i am in danger,1
feeling happy,0
help me,1
all good here,0
i feel threatened,1
everything is normal,0
someone is chasing me,1
having a good day,0
this is an emergency,1
all is well,0
i feel threatened,1
everything is fine,0
please help me,1
having a good day,0
i am in trouble,1
i am okay,0
please respond quickly,1
no issues,0
help me,1
life is good,0
help me,1
life is good,0
i am in trouble,1
life is good,0
call police,1
all is well,0
someone is chasing me,1
everything is normal,0
help me,1
everything is normal,0
someone is chasing me,1
i am safe,0
i am scared,1
all is well,0
someone is following me,1
i am okay,0
i feel threatened,1
i am comfortable,0
call police,1
just relaxing,0
someone is following me,1
life is good,0
please help me,1
i am safe,0
i am not safe,1
i am okay,0
i feel threatened,1
i feel great,0
i am scared,1
life is good,0
i need help urgently,1
i am okay,0
i am not safe,1
i am safe,0
this is an emergency,1
no problem here,0
help me,1
feeling happy,0
i am not safe,1
all is well,0
someone is chasing me,1
all good here,0
i feel unsafe,1
feeling peaceful,0
please respond quickly,1
no problem here,0
i am in danger,1
life is good,0
help me,1
just relaxing,0
someone is following me,1
no issues,0
i am scared,1
i am okay,0
i am not safe,1
i feel great,0
i am in trouble,1
everything is normal,0
i feel unsafe,1
i am okay,0
i feel threatened,1
no problem here,0
i feel threatened,1
all is well,0
i am in trouble,1
just relaxing,0
i am scared,1
i am safe,0
call police,1
life is good,0
please respond quickly,1
no problem here,0
call police,1
i am okay,0
i feel unsafe,1
everything is fine,0
i need help urgently,1
everything is normal,0
i am in danger,1
all good here,0
call police,1
no problem here,0
someone is chasing me,1
life is good,0
someone is following me,1
having a good day,0
i am in trouble,1
everything is fine,0
i am in trouble,1
i am safe,0
someone is following me,1
i am okay,0
someone is chasing me,1
no issues,0
save me,1
all good here,0
call police,1
everything is normal,0
i am in trouble,1
feeling peaceful,0
i am in trouble,1
just relaxing,0
i feel threatened,1
no problem here,0
i feel threatened,1
life is good,0
please respond quickly,1
having a good day,0
help me,1
all is well,0
please help me,1
all is well,0
i feel threatened,1
i feel great,0
please respond quickly,1
everything is fine,0
i feel threatened,1
i am okay,0
i feel unsafe,1
having a good day,0
i am in trouble,1
life is good,0
help me,1
no issues,0
call police,1
all good here,0
i feel threatened,1
i am comfortable,0
i feel threatened,1
just relaxing,0
i am not safe,1
all is well,0
help me,1
feeling peaceful,0
i am in danger,1
feeling peaceful,0
i need help urgently,1
i am safe,0
i feel unsafe,1
i am okay,0
please help me,1
just relaxing,0
someone is chasing me,1
having a good day,0
someone is chasing me,1
i am comfortable,0
i am not safe,1
everything is normal,0
i am in trouble,1
all is well,0
i am scared,1
feeling happy,0
i feel unsafe,1
life is good,0
someone is following me,1
life is good,0
someone is following me,1
i am safe,0
save me,1
i am okay,0
someone is chasing me,1
just relaxing,0
i feel threatened,1
i feel great,0
someone is following me,1
feeling peaceful,0
call police,1
having a good day,0
i am not safe,1
having a good day,0
someone is chasing me,1
everything is fine,0
please help me,1
everything is normal,0
i am scared,1
i am comfortable,0
i need help urgently,1
no problem here,0
please respond quickly,1
having a good day,0
i feel unsafe,1
everything is fine,0
i need help urgently,1
no problem here,0
someone is following me,1
just relaxing,0
call police,1
i am okay,0
someone is chasing me,1
no issues,0
i feel unsafe,1
having a good day,0
save me,1
just relaxing,0
someone is following me,1
i am safe,0
help me,1
life is good,0
save me,1
feeling happy,0
i need help urgently,1
everything is fine,0
call police,1
everything is fine,0
call police,1
feeling peaceful,0
i feel unsafe,1
no problem here,0
save me,1
feeling happy,0
someone is chasing me,1
i feel great,0
please respond quickly,1
i am comfortable,0
please help me,1
i am okay,0
i am scared,1
i am comfortable,0
i feel threatened,1
having a good day,0
call police,1
everything is normal,0
please help me,1
all good here,0
i need help urgently,1
life is good,0
i am in trouble,1
life is good,0
this is an emergency,1
life is good,0
i am not safe,1
everything is normal,0
i am in trouble,1
life is good,0
i am in danger,1
everything is normal,0
please respond quickly,1
i am comfortable,0
call police,1
everything is normal,0
i feel unsafe,1
no problem here,0
call police,1
everything is fine,0
i am in trouble,1
everything is normal,0
please help me,1
everything is normal,0
i feel unsafe,1
i feel great,0
someone is following me,1
i am comfortable,0
i am scared,1
life is good,0
call police,1
having a good day,0
help me,1
life is good,0
i am scared,1
feeling peaceful,0
someone is chasing me,1
everything is normal,0
please help me,1
everything is fine,0
help me,1
all good here,0
please respond quickly,1
life is good,0
i feel threatened,1
having a good day,0
i feel threatened,1
all is well,0
help me,1
no problem here,0
this is an emergency,1
having a good day,0
i am in danger,1
i am safe,0
save me,1
i am comfortable,0
i need help urgently,1
all good here,0
please respond quickly,1
i am okay,0
save me,1
no problem here,0
please help me,1
i feel great,0
i feel unsafe,1
i am safe,0
call police,1
feeling happy,0
i need help urgently,1
all is well,0
help me,1
everything is normal,0
help me,1
feeling peaceful,0
call police,1
i am comfortable,0
i am not safe,1
having a good day,0
i am in trouble,1
no problem here,0
call police,1
i am comfortable,0
someone is following me,1
i am okay,0
this is an emergency,1
all is well,0
i am not safe,1
everything is fine,0
please help me,1
all is well,0
i am in danger,1
no problem here,0
help me,1
just relaxing,0
i am not safe,1
everything is normal,0
i am in danger,1
all is well,0
call police,1
no issues,0
save me,1
i am safe,0
help me,1
feeling peaceful,0
please respond quickly,1
i am okay,0
i am not safe,1
just relaxing,0
someone is following me,1
all good here,0
i feel unsafe,1
i feel great,0
save me,1
no issues,0
please respond quickly,1
all is well,0
save me,1
having a good day,0
i feel unsafe,1
everything is normal,0
i need help urgently,1
life is good,0
please help me,1
no issues,0
save me,1
all good here,0
someone is following me,1
no issues,0
please respond quickly,1
life is good,0
i need help urgently,1
feeling happy,0
please help me,1
i am okay,0
i feel threatened,1
feeling peaceful,0
i feel unsafe,1
all is well,0
i am in trouble,1
i am okay,0
i feel threatened,1
all good here,0
please respond quickly,1
everything is fine,0
i am in danger,1
no problem here,0
help me,1
i am okay,0
i am in trouble,1
i am okay,0
someone is following me,1
having a good day,0
i am not safe,1
feeling happy,0
i am in trouble,1
i am okay,0
i am in danger,1
life is good,0
someone is following me,1
i feel great,0
someone is chasing me,1
no issues,0
i feel unsafe,1
having a good day,0
call police,1
i am comfortable,0
save me,1
just relaxing,0
help me,1
life is good,0
i am in danger,1
all good here,0
someone is chasing me,1
feeling peaceful,0
this is an emergency,1
just relaxing,0
save me,1
having a good day,0
save me,1
life is good,0
this is an emergency,1
i am safe,0
save me,1
feeling happy,0
i need help urgently,1
no issues,0
call police,1
having a good day,0
someone is chasing me,1
i am comfortable,0
i need help urgently,1
feeling peaceful,0
i am not safe,1
just relaxing,0
call police,1
just relaxing,0
please respond quickly,1
just relaxing,0
i feel unsafe,1
all good here,0
please respond quickly,1
everything is normal,0
i am scared,1
life is good,0
i am in danger,1
i am comfortable,0
please respond quickly,1
i am okay,0
call police,1
no problem here,0
i need help urgently,1
everything is fine,0
i am in trouble,1
having a good day,0
i feel threatened,1
no problem here,0
i feel unsafe,1
i am okay,0
someone is following me,1
i am okay,0
i am not safe,1
i am comfortable,0
i feel unsafe,1
everything is normal,0
i need help urgently,1
feeling peaceful,0
please respond quickly,1
having a good day,0
someone is chasing me,1
having a good day,0
i feel threatened,1
just relaxing,0
this is an emergency,1
no issues,0
i am not safe,1
having a good day,0
i am in trouble,1
i am comfortable,0
someone is chasing me,1
life is good,0
i am not safe,1
feeling peaceful,0
i am in trouble,1
all is well,0
this is an emergency,1
feeling happy,0
i feel unsafe,1
i feel great,0
please help me,1
everything is fine,0
i am in trouble,1
having a good day,0
i feel unsafe,1
all good here,0
please help me,1
i am comfortable,0
i am not safe,1
just relaxing,0
please help me,1
feeling peaceful,0
i am not safe,1
feeling happy,0
someone is chasing me,1
feeling peaceful,0
help me,1
no issues,0
save me,1
i am okay,0
i am not safe,1
having a good day,0
please help me,1
no problem here,0
i am not safe,1
feeling peaceful,0
i am in trouble,1
everything is normal,0
please help me,1
just relaxing,0
i need help urgently,1
i am safe,0
please help me,1
all good here,0
please help me,1
all is well,0
i need help urgently,1
everything is normal,0
i feel threatened,1
feeling peaceful,0
please respond quickly,1
no issues,0
please help me,1
feeling peaceful,0
i am not safe,1
feeling happy,0
i am not safe,1
all good here,0
call police,1
all is well,0
help me,1
feeling happy,0
save me,1
having a good day,0
someone is following me,1
feeling peaceful,0
i feel unsafe,1
all is well,0
i feel unsafe,1
feeling happy,0
i feel threatened,1
i am safe,0
i am in danger,1
no problem here,0
save me,1
i am comfortable,0
i am not safe,1
all good here,0
i am scared,1
everything is normal,0
help me,1
having a good day,0
i feel threatened,1
all good here,0
i am in danger,1
i am safe,0
please help me,1
feeling happy,0
save me,1
i am comfortable,0
i feel threatened,1
feeling peaceful,0
please respond quickly,1
feeling peaceful,0
please help me,1
i am comfortable,0
please help me,1
just relaxing,0
i need help urgently,1
having a good day,0
please help me,1
no problem here,0
i am not safe,1
i am safe,0
i am not safe,1
no issues,0
save me,1
everything is fine,0
call police,1
just relaxing,0
someone is following me,1
everything is fine,0
i am in danger,1
i feel great,0
i am in danger,1
all good here,0
i am scared,1
feeling peaceful,0
help me,1
i am okay,0
call police,1
everything is fine,0
please respond quickly,1
i am safe,0
i feel unsafe,1
i feel great,0
this is an emergency,1
everything is normal,0
someone is chasing me,1
just relaxing,0
call police,1
everything is fine,0
someone is chasing me,1
no issues,0
this is an emergency,1
feeling happy,0
please help me,1
everything is normal,0
this is an emergency,1
i am comfortable,0
i am not safe,1
i am safe,0
help me,1
i am comfortable,0
save me,1
everything is normal,0
i need help urgently,1
i am comfortable,0
please respond quickly,1
everything is normal,0
someone is chasing me,1
feeling peaceful,0
i need help urgently,1
feeling happy,0
please respond quickly,1
all good here,0
someone is chasing me,1
everything is fine,0
i am in danger,1
all is well,0
i feel threatened,1
just relaxing,0
call police,1
no problem here,0
i am in trouble,1
having a good day,0
i am not safe,1
i feel great,0
i am scared,1
feeling happy,0
i need help urgently,1
no problem here,0
this is an emergency,1
all good here,0
this is an emergency,1
all good here,0
help me,1
everything is normal,0
this is an emergency,1
everything is fine,0
save me,1
feeling peaceful,0
i am scared,1
i feel great,0
i am not safe,1
no issues,0
this is an emergency,1
i am safe,0
i am scared,1
everything is normal,0
i feel threatened,1
everything is normal,0
someone is chasing me,1
all good here,0
i am not safe,1
i feel great,0
please respond quickly,1
feeling peaceful,0
i am not safe,1
all good here,0
save me,1
no issues,0
save me,1
everything is normal,0
call police,1
no problem here,0
this is an emergency,1
just relaxing,0
i feel threatened,1
feeling happy,0
please respond quickly,1
all is well,0
i feel unsafe,1
no issues,0
i am in danger,1
all good here,0
this is an emergency,1
i feel great,0
i feel threatened,1
just relaxing,0
i am in trouble,1
feeling happy,0
help me,1
feeling peaceful,0
i need help urgently,1
all good here,0
please help me,1
everything is normal,0
help me,1
i am okay,0
i feel threatened,1
no problem here,0
please help me,1
feeling peaceful,0
i am scared,1
no issues,0
i feel unsafe,1
feeling happy,0
i feel threatened,1
i am comfortable,0
i feel threatened,1
no issues,0
someone is chasing me,1
i feel great,0
call police,1
everything is normal,0
someone is chasing me,1
i feel great,0
i feel threatened,1
i am okay,0
i am not safe,1
life is good,0
i feel unsafe,1
no issues,0
someone is following me,1
just relaxing,0
save me,1
i am safe,0
someone is following me,1
no problem here,0
someone is following me,1
no problem here,0
please respond quickly,1
having a good day,0
i am in trouble,1
all is well,0
help me,1
i am okay,0
i feel threatened,1
just relaxing,0
i feel threatened,1
feeling peaceful,0
i feel threatened,1
having a good day,0
i need help urgently,1
life is good,0
i feel unsafe,1
having a good day,0
i feel unsafe,1
no issues,0
save me,1
just relaxing,0
i am not safe,1
having a good day,0
help me,1
no problem here,0
please help me,1
just relaxing,0
please respond quickly,1
i am okay,0
please respond quickly,1
i am safe,0
call police,1
i am safe,0
i need help urgently,1
i feel great,0
i am in trouble,1
feeling peaceful,0
i am scared,1
i am okay,0
i am scared,1
i am comfortable,0
please respond quickly,1
feeling peaceful,0
i am not safe,1
just relaxing,0
please help me,1
feeling peaceful,0
please help me,1
i am okay,0
i feel threatened,1
i am okay,0
call police,1
life is good,0
please respond quickly,1
no issues,0
i need help urgently,1
no problem here,0
someone is chasing me,1
i feel great,0
i need help urgently,1
i am safe,0
call police,1
feeling peaceful,0
someone is chasing me,1
no issues,0
help me,1
all is well,0
i am in danger,1
i feel great,0
i need help urgently,1
all is well,0
i am in danger,1
just relaxing,0
help me,1
having a good day,0
call police,1
i feel great,0
i need help urgently,1
no issues,0
i feel threatened,1
everything is normal,0
i am in trouble,1
everything is fine,0
i am in danger,1
all is well,0
save me,1
i am safe,0
i am in danger,1
i am okay,0
i am scared,1
all is well,0
i feel unsafe,1
all good here,0
i am scared,1
just relaxing,0
please help me,1
feeling peaceful,0
i feel threatened,1
life is good,0
this is an emergency,1
having a good day,0
i am in danger,1
having a good day,0
